file,label,split,ir,parent
cough17589.wav,cough,1,0,split1_ir0_ov1_1.csv
phone99601.wav,phone,1,0,split1_ir0_ov1_1.csv
phone256325.wav,phone,1,0,split1_ir0_ov1_1.csv
knock403109.wav,knock,1,0,split1_ir0_ov1_1.csv
keyboard494712.wav,keyboard,1,0,split1_ir0_ov1_1.csv
laughter649841.wav,laughter,1,0,split1_ir0_ov1_1.csv
phone783398.wav,phone,1,0,split1_ir0_ov1_1.csv
speech999706.wav,speech,1,0,split1_ir0_ov1_1.csv
clearthroat1122939.wav,clearthroat,1,0,split1_ir0_ov1_1.csv
laughter1195817.wav,laughter,1,0,split1_ir0_ov1_1.csv
keyboard1348327.wav,keyboard,1,0,split1_ir0_ov1_1.csv
laughter1469125.wav,laughter,1,0,split1_ir0_ov1_1.csv
phone1586500.wav,phone,1,0,split1_ir0_ov1_1.csv
knock1771091.wav,knock,1,0,split1_ir0_ov1_1.csv
cough1853502.wav,cough,1,0,split1_ir0_ov1_1.csv
drawer1977067.wav,drawer,1,0,split1_ir0_ov1_1.csv
speech2084858.wav,speech,1,0,split1_ir0_ov1_1.csv
phone2254858.wav,phone,1,0,split1_ir0_ov1_1.csv
clearthroat2370301.wav,clearthroat,1,0,split1_ir0_ov1_1.csv
clearthroat2461851.wav,clearthroat,1,0,split1_ir0_ov1_1.csv
knock2559423.wav,knock,1,0,split1_ir0_ov1_1.csv
doorslam2632805.wav,doorslam,1,0,split1_ir0_ov1_1.csv
keyboard2704894.wav,keyboard,1,0,split1_ir0_ov1_1.csv
keyboard28161.wav,keyboard,1,0,split1_ir0_ov1_10.csv
knock158346.wav,knock,1,0,split1_ir0_ov1_10.csv
cough220429.wav,cough,1,0,split1_ir0_ov1_10.csv
doorslam332644.wav,doorslam,1,0,split1_ir0_ov1_10.csv
keyboard427913.wav,keyboard,1,0,split1_ir0_ov1_10.csv
clearthroat531433.wav,clearthroat,1,0,split1_ir0_ov1_10.csv
cough632746.wav,cough,1,0,split1_ir0_ov1_10.csv
laughter721912.wav,laughter,1,0,split1_ir0_ov1_10.csv
keyboard894371.wav,keyboard,1,0,split1_ir0_ov1_10.csv
pageturn1042158.wav,pageturn,1,0,split1_ir0_ov1_10.csv
speech1129721.wav,speech,1,0,split1_ir0_ov1_10.csv
phone1256703.wav,phone,1,0,split1_ir0_ov1_10.csv
clearthroat1469263.wav,clearthroat,1,0,split1_ir0_ov1_10.csv
speech1556297.wav,speech,1,0,split1_ir0_ov1_10.csv
doorslam1700342.wav,doorslam,1,0,split1_ir0_ov1_10.csv
drawer1756114.wav,drawer,1,0,split1_ir0_ov1_10.csv
keysDrop1856714.wav,keysDrop,1,0,split1_ir0_ov1_10.csv
clearthroat1898772.wav,clearthroat,1,0,split1_ir0_ov1_10.csv
keyboard1967433.wav,keyboard,1,0,split1_ir0_ov1_10.csv
doorslam2088927.wav,doorslam,1,0,split1_ir0_ov1_10.csv
drawer2141361.wav,drawer,1,0,split1_ir0_ov1_10.csv
knock2249658.wav,knock,1,0,split1_ir0_ov1_10.csv
speech2343472.wav,speech,1,0,split1_ir0_ov1_10.csv
doorslam2493851.wav,doorslam,1,0,split1_ir0_ov1_10.csv
cough2581577.wav,cough,1,0,split1_ir0_ov1_10.csv
keyboard2668982.wav,keyboard,1,0,split1_ir0_ov1_10.csv
doorslam9838.wav,doorslam,1,0,split1_ir0_ov1_2.csv
drawer61312.wav,drawer,1,0,split1_ir0_ov1_2.csv
keysDrop179762.wav,keysDrop,1,0,split1_ir0_ov1_2.csv
doorslam221489.wav,doorslam,1,0,split1_ir0_ov1_2.csv
phone287539.wav,phone,1,0,split1_ir0_ov1_2.csv
phone419979.wav,phone,1,0,split1_ir0_ov1_2.csv
keysDrop598826.wav,keysDrop,1,0,split1_ir0_ov1_2.csv
speech663948.wav,speech,1,0,split1_ir0_ov1_2.csv
laughter824308.wav,laughter,1,0,split1_ir0_ov1_2.csv
